Index,target
0,46.530746
1,46.798626
2,44.20999
3,55.03565
4,48.945137
5,44.304863
6,51.580894
7,56.57082
8,61.872955
9,57.804035
10,60.652336
11,50.08428
12,19.043867
13,28.725021
14,23.066294
15,13.00951
16,45.48333
17,47.92821
18,49.0108
19,42.005684
20,22.387455
21,22.849115
22,36.584927
23,43.74666
24,13.560763
25,14.166028
26,11.261481
27,13.918937
28,33.22837
29,25.240738
30,26.301855
31,31.800282
32,31.194221
33,34.60006
34,37.231888
35,45.055653
36,48.639725
37,54.280354
38,49.029945
39,67.46555
40,12.215279
41,12.878601
42,23.221079
43,32.268524
44,24.026384
45,19.764744
46,34.400623
47,28.035423
48,45.685223
49,44.519913
50,43.89995
51,33.988026
52,31.449171
53,35.194057
54,39.0796
55,45.38388
56,53.633415
57,50.740074
58,56.36267
59,51.888702
60,68.90086
61,63.52155
62,18.343336
63,20.930126
64,19.728424
65,13.389548
66,26.231054
67,28.60564
68,28.550714
69,30.004826
70,37.827366
71,34.0429
72,41.72955
73,38.8047
74,23.13901
75,30.60982
76,32.392624
77,31.757915
78,20.641357
79,28.868423
80,32.60352
81,34.06496
82,35.89297
83,55.36367
84,43.574665
85,47.13555
86,55.106274
87,50.456585
88,62.30568
89,50.123043
90,46.69724
91,43.234413
92,41.792995
93,38.54406
94,46.913166
95,53.503124
96,48.929554
97,60.47636
98,55.33818
99,62.15791
100,55.20451
101,63.571487
102,24.348078
103,26.047636
104,31.294313
105,28.827198
106,37.946255
107,41.345318
108,50.063404
109,46.797478
110,55.349854
111,48.609364
112,60.286915
113,60.385323
114,22.94446
115,24.635437
116,23.712809
117,28.482237
118,31.733576
119,30.823845
120,37.74356
121,36.027782
122,40.979618
123,40.615505
124,37.214455
125,46.633915
126,33.060753
127,30.81676
128,35.08844
129,34.517456
130,36.938824
131,34.620327
132,39.195164
133,49.903347
134,39.94406
135,41.829956
136,59.09395
137,49.84937
138,18.428581
139,20.518425
140,18.290268
141,19.658556
142,35.520638
143,33.72792
144,29.292225
145,29.767138
146,40.52516
147,34.281033
148,45.121456
149,48.667564
150,31.108091
151,20.26239
152,19.667583
153,31.682499
154,34.47314
155,35.11939
156,37.388542
157,38.34117
158,38.398514
159,62.924835
160,45.341198
161,50.938236
162,25.121065
163,31.85209
164,22.233583
165,23.848513
166,33.273666
167,47.981533
168,52.55337
169,46.18207
170,32.115555
171,52.895287
172,52.336464
173,20.061123
174,44.93414
175,35.054596
176,38.51995
177,12.09762
178,18.087639
179,18.044521
180,21.866222
181,18.729689
182,17.028187
183,23.175476
184,22.62812
185,36.818924
186,48.42407
187,35.377716
188,32.663837
189,3.2439902
190,9.446417
191,13.851103
192,15.288364
193,9.006397
194,22.549303
195,23.277
196,17.158863
197,17.15862
198,21.02139
199,39.616497
200,31.782118
201,18.03843
202,14.045719
203,14.90681
204,17.872255
205,21.663074
206,17.403646
207,10.320448
208,23.409721
209,41.2932
210,31.750618
211,37.188457
212,49.312733
213,45.086437
214,47.65969
215,49.60377
216,31.8943
217,30.832144
218,23.926975
219,31.487183
220,41.992523
221,39.029865
222,35.956573
223,33.42592
224,51.224037
225,57.860203
226,24.24504
227,31.93819
228,35.09385
229,34.02363
230,34.18221
231,38.37905
232,39.36749
233,36.90797
234,48.275
235,15.941217
236,15.062761
237,18.168238
238,18.899012
239,16.259495
240,40.059334
241,31.16202
242,34.072
243,36.35466
244,57.071316
245,45.518078
246,53.37423
247,48.10454
248,65.5606
249,60.465603
250,28.236069
251,34.270744
252,30.998089
253,30.67442
254,35.90115
255,44.654236
256,45.57136
257,51.77497
258,55.414433
259,54.676308
260,48.82723
261,52.815495
262,46.997562
263,59.081833
264,28.125395
265,29.605663
266,30.317863
267,32.041092
268,27.766483
269,22.542019
270,31.258532
271,42.108303
272,19.374846
273,33.419807
274,33.71541
275,36.501823
276,42.680984
277,36.181442
278,21.310669
279,35.89663
280,37.484035
281,39.711063
282,49.00053
283,50.859573
284,51.52528
285,54.25744
286,53.978973
287,46.1963
288,51.76386
289,55.97188
290,54.198563
291,37.928387
292,49.31837
293,48.958466
294,52.433304
295,49.464325
296,58.933533
297,59.086407
298,59.323418
299,38.65939
300,44.74634
301,46.779377
302,52.811058
303,50.59586
304,51.49734
305,58.261963
306,48.808525
307,48.287144
308,47.533733
309,31.442266
310,33.64821
311,32.38744
312,33.569958
313,33.00634
314,55.422817
315,49.730232
316,7.738897
317,16.51504
318,17.502422
319,34.84016
320,4.9402103
321,7.8545504
322,15.18421
323,12.9851465
324,22.121195
325,37.521202
326,37.317825
327,56.01689
328,56.619175
329,21.014923
330,30.515808
331,31.384756
332,32.962257
333,59.934883
334,62.87622
335,58.84254
336,59.06745
337,14.387707
338,18.635878
339,4.863751
340,19.527668
341,30.994263
342,16.721327
343,35.783455
344,32.080807
345,35.853836
346,41.90545
347,39.09271
348,36.893753
349,40.95429
350,42.913345
351,43.322742
352,46.271935
353,51.13643
354,40.181225
355,32.58071
356,35.649033
357,40.781055
358,46.414093
359,44.994835
360,38.14452
361,52.296642
362,48.573627
363,49.33751
364,56.30413
365,31.554419
366,21.358606
367,29.817959
368,42.279476
369,18.284504
370,33.72553
371,49.992863
372,36.545006
373,37.916576
374,37.93013
375,36.005676
376,34.795433
377,18.583256
378,22.18317
379,15.972256
380,12.295803
381,16.332325
382,39.07167
383,28.072634
384,41.252193
385,32.4881
386,30.84193
387,40.63546
388,38.1896
389,21.189352
390,31.542933
391,42.746513
392,42.301876
393,35.42934
394,36.102455
395,46.017006
396,38.848072
397,50.278652
398,40.774662
399,47.84488
400,45.4735
401,31.634327
402,30.328352
403,31.751432
404,42.368587
405,30.556057
406,29.642492
407,38.157722
408,33.52719
409,36.960224
410,46.847233
411,23.33086
412,9.069069
413,36.586308
414,33.431145
415,35.143097
416,32.46571
417,31.535072
418,21.180704
419,31.087503
420,32.635563
421,42.442825
422,46.852806
423,15.293083
424,23.431894
425,30.379805
426,29.329842
427,36.716373
428,36.369656
429,48.40039
430,36.12586
431,36.04377
432,52.986465
433,35.066036
434,26.680521
435,39.12514
436,31.730238
437,37.256344
438,33.064457
439,18.443129
440,33.636528
441,46.382675
442,41.091522
443,44.76568
444,40.655914
445,39.65321
446,5.3838086
447,10.592915
448,19.211527
449,11.722675
450,18.644533
451,17.6979
452,18.831196
453,33.503597
454,34.205395
455,50.065193
456,48.45612
457,61.387127
458,50.430317
459,45.535313
460,56.3012
461,62.169277
462,29.101603
463,40.48253
464,44.78272
465,52.734608
466,59.81457
467,60.804367
468,54.906185
469,67.50897
470,60.054268
471,58.920315
472,66.7139
473,69.42651
474,57.88379
475,74.60035
476,64.38607
477,64.79505
478,21.546282
479,32.27735
480,24.696636
481,43.261436
482,30.574316
483,33.334114
484,37.958946
485,33.432896
486,18.392912
487,34.52578
488,34.863285
489,49.623703
490,32.462807
491,42.004864
492,43.029846
493,44.150234
494,42.100628
495,35.0686
496,56.64904
497,40.310516
498,43.87801
499,47.786484
500,45.582943
501,48.10069
502,55.17183
503,51.42947
504,49.743904
505,50.03343
506,56.989857
507,9.856311
508,10.674669
509,11.378618
510,18.780806
511,34.30314
512,18.904076
513,28.55721
514,33.844505
515,46.726437
516,41.473736
517,50.127605
518,46.77992
519,48.616734
520,43.794758
521,49.567627
522,50.96557
523,31.246565
524,30.10259
525,32.923397
526,45.55809
527,37.7764
528,38.34092
529,34.095776
530,34.245045
531,61.95134
532,56.708492
533,53.141956
534,64.986336
535,49.271904
536,60.961674
537,55.876804
538,60.58724
539,64.01045
540,32.36393
541,21.758467
542,35.415443
543,38.286945
544,7.913523
545,13.985504
546,11.968957
547,20.631266
548,18.227852
549,19.155722
550,28.748367
551,40.400784
552,40.06268
553,37.166496
554,36.005154
555,46.431374
556,49.284378
557,39.477703
558,54.021725
559,48.901073
560,46.788654
561,49.89642
562,54.22106
563,67.452644
564,58.531067
565,18.413355
566,11.333554
567,18.30762
568,33.38768
569,31.656092
570,51.620754
571,46.743393
572,49.834076
573,48.170906
574,46.703323
575,49.140755
576,30.354416
577,34.258675
578,32.58237
579,38.74855
580,35.24003
581,33.16698
582,39.96677
583,51.420834
584,7.659362
585,31.811285
586,19.031178
587,34.349598
588,33.34048
589,45.847954
590,41.040455
591,46.30299
592,53.16072
593,64.833855
594,49.13703
595,58.53761
596,59.391144
597,59.06215
598,58.98161
599,60.0747
600,57.89119
601,41.16468
602,51.25495
603,47.971016
604,40.33946
605,36.764973
606,35.158558
607,39.468857
608,52.961155
609,51.18459
610,48.204674
611,47.76924
612,37.801357
613,34.857735
614,33.34328
615,60.86946
616,42.8128
617,49.270237
618,22.914042
619,19.644066
620,30.94682
621,34.95985
622,31.903667
623,30.292183
624,31.695576
625,30.927063
626,38.00418
627,32.960476
628,29.606922
629,3.497868
630,5.1898437
631,12.429446
632,10.911728
633,13.78288
634,15.392634
635,13.618369
636,23.255219
637,17.487347
638,16.378178
639,31.276697
640,42.653107
641,4.211393
642,4.5705867
643,5.322575
644,7.921217
645,16.218006
646,19.656765
647,3.6716292
648,28.52949
649,18.136003
650,19.37147
651,34.18025
652,38.1182
653,36.834232
654,42.498997
655,49.365776
656,45.853348
657,39.981506
658,35.580093
659,35.390945
660,53.180813
661,33.19839
662,45.113678
663,39.004856
664,35.534176
665,35.852264
666,33.189587
667,32.547962
668,40.95592
669,39.595665
670,50.79699
671,28.409536
672,33.232624
673,52.130882
674,33.135624
675,35.737003
676,35.91441
677,51.6122
678,37.64387
679,39.7736
680,39.457962
681,41.251064
682,41.771347
683,30.42941
684,24.570875
685,32.122955
686,32.625305
687,34.80847
688,31.804556
689,35.708363
690,46.269512
691,35.802246
692,45.119717
693,53.184864
694,46.081394
695,28.972609
696,40.979828
697,34.176567
698,32.85391
699,32.791824
700,47.721157
701,29.141031
702,48.80629
703,52.787155
704,57.503284
705,55.834614
706,54.806606
707,40.21796
708,44.443684
709,57.06871
710,51.49852
711,45.458855
712,56.815533
713,53.88541
714,46.95879
715,56.994545
716,66.251144
717,66.29652
718,65.75598
719,62.72814
720,62.315075
721,59.95296
722,61.500477
723,37.83925
724,44.517075
725,50.49098
726,48.012154
727,8.225823
728,14.50113
729,32.58915
730,35.922756
731,29.684677
732,32.61525
733,50.024395
734,50.10305
735,56.28462
736,62.451065
737,11.1526
738,18.609955
739,18.516691
740,21.506538
741,12.268217
742,18.85648
743,29.231133
744,29.425955
745,35.503563
746,31.92443
747,54.97625
748,50.95801
749,43.805714
750,28.816998
751,46.17558
752,44.157116
753,8.450626
754,19.603544
755,8.496449
756,18.267838
757,23.562971
758,23.447493
759,18.127434
760,33.749798
761,48.57626
762,39.861145
763,40.874214
764,38.962723
765,15.513341
766,10.274133
767,13.214656
768,20.16283
769,13.08153
770,29.679214
771,20.396988
772,31.860926
773,32.433155
774,36.42307
775,35.358658
776,39.911167
777,4.6986113
778,5.062954
779,6.4462132
780,12.8587475
781,31.770464
782,46.272327
783,47.31588
784,41.787792
785,21.864542
786,30.840633
787,18.9924
788,41.492188
789,34.359386
790,52.838593
791,44.756348
792,44.772987
793,55.45647
794,6.684115
795,12.945862
796,19.744583
797,17.126518
798,19.21313
799,13.571237
800,42.709774
801,31.967243
802,33.92243
803,27.739822
804,34.786774
805,36.20757
806,37.7017
807,24.001179
